,Setpoints,Energy,Temperatures,Basic money,Money,Comfort violations
13883,20,272158.42917803203,20.01145489554916,108863.37167121282,76215.2465070161,0.0
13884,20,244619.21697920468,20.0088614053478,97847.68679168187,65817.24652042481,0.0
13885,20,223758.02646386687,20.00673167620802,89503.21058554675,55948.45693702527,0.0
13886,20,209095.37116836174,20.004722281615116,83638.1484673447,50747.446582561395,0.0
13887,20,205307.58062680808,20.00107708780213,82123.03225072323,48161.05226343664,0.0
13888,20,212362.9003211287,19.997498435649895,84945.16012845148,58450.76468438746,0.0025015643501049567
13889,20,226176.71088955953,19.995312650552716,135706.0265337357,75185.66223390738,0.004687349447284106
13890,20,231999.81156476826,19.998155793256682,139199.88693886096,75938.17832137995,0.0018442067433177556
13891,20,237850.68388681588,19.998024867045824,142710.41033208952,67121.46299285944,0.001975132954175507
13892,20,239036.27115294724,19.99965394563354,143421.76269176835,58343.97306301136,0.00034605436646018006
13893,20,240789.20979373503,19.99939305810887,96315.68391749403,53744.15162596166,0.0006069418911316404
13894,20,238491.93015988366,20.00081020551363,95396.77206395347,40667.64393086336,0.0
13895,17,0.0,19.573472687511966,0.0,0.0,0.0
13896,17,0.0,19.455471561316603,0.0,0.0,0.0
13897,17,0.0,19.362361454705027,0.0,0.0,0.0
13898,17,0.0,19.265849130056907,0.0,0.0,0.0
13899,17,0.0,19.159868656126744,0.0,0.0,0.0
13900,17,0.0,19.03680836919701,0.0,0.0,0.0
13901,20,475655.43317169347,19.895351578374573,95131.0866343387,95454.53232889544,0.0
13902,20,446825.9016753055,20.007692006750915,89365.1803350611,123949.50512472974,0.0
13903,20,395939.19228616386,20.015808593641626,79187.83845723278,110269.06505169664,0.0
13904,20,352439.13693380076,20.013603544680457,140975.6547735203,106803.15605641897,0.0
13905,20,318635.30338174733,20.010634098388955,127454.12135269894,89887.01908399093,0.0
13906,20,282456.6202738209,20.011746182383284,112982.64810952835,81353.15577126588,0.0
13907,20,247037.0111441364,20.01154766085892,98814.80445765457,69926.29637445924,0.0
13908,20,222404.52721801345,20.007916959253635,88961.81088720539,57949.72361192559,0.0
13909,20,206426.5214375217,20.005133226084745,82570.6085750087,57213.17468162352,0.0
13910,20,196624.28197269025,20.003139179517525,78649.7127890761,56313.194356978485,0.0
13911,20,196086.77196339908,20.000035800442422,78434.70878535963,57053.40717047059,0.0
13912,20,206718.58170295213,19.99631457077627,82687.43268118086,66952.01424195213,0.003685429223729386
13913,20,223487.87182089567,19.994345910396284,134092.7230925374,85041.60498528722,0.0056540896037162724
13914,20,236086.8581621411,19.995857188024708,141652.11489728466,89713.00610161363,0.004142811975292204
13915,20,245353.42853253862,19.99693966258606,147212.05711952318,83376.00208392728,0.0030603374139417383
13916,20,252435.9458721879,19.997655457693817,151461.56752331273,72388.53183830861,0.002344542306182973
13917,20,256335.00999247134,19.998730257913596,102534.00399698854,72327.48641947572,0.0012697420864036246
13918,20,259502.19781276086,19.99894264766472,103800.87912510434,64361.73510152094,0.0010573523352803704
13919,17,0.0,19.464859584734835,0.0,0.0,0.0
13920,17,0.0,19.306149967842398,0.0,0.0,0.0
13921,17,0.0,19.189483313162153,0.0,0.0,0.0
13922,17,0.0,19.076434575806037,0.0,0.0,0.0
13923,17,0.0,18.976641692747815,0.0,0.0,0.0
13924,17,0.0,18.875380264573824,0.0,0.0,0.0
13925,17,0.0,18.779912865107462,0.0,0.0,0.0
13926,17,0.0,18.69623301461704,0.0,0.0,0.0
13927,17,0.0,18.625809854830838,0.0,0.0,0.0
13928,20,500000.0,19.590689958541372,200000.0,159470.0,0.0
13929,20,496576.8313222973,19.841754694938285,198630.73252891892,149727.8461802991,0.0
13930,20,458461.9325955798,20.00049506477373,183384.77303823194,130845.03556277847,0.0
13931,20,373078.67937993706,20.027161060247728,149231.47175197484,99985.08607382314,0.0
13932,20,302677.0659660782,20.022152716623633,121070.82638643129,76698.36851580422,0.0
13933,20,260710.10864385523,20.012974905848175,104284.0434575421,63946.97544816481,0.0
13934,20,236322.02925865536,20.00750135746244,94528.81170346215,59959.62526350604,0.0
13935,20,225419.3013824659,20.003194730788138,90167.72055298637,56458.51822425241,0.0
13936,20,224809.17705393632,19.999901872818175,89923.67082157453,64304.41700450795,9.8127181825447e-05
13937,17,0.0,19.530467532623362,0.0,0.0,0.0
13938,17,0.0,19.382736738930152,0.0,0.0,0.0
13939,17,0.0,19.25476544876642,0.0,0.0,0.0
13940,17,0.0,19.132925883850653,0.0,0.0,0.0
13941,17,0.0,19.01465814288259,0.0,0.0,0.0
13942,17,0.0,18.914787586317015,0.0,0.0,0.0
13943,17,0.0,18.83487352086635,0.0,0.0,0.0
13944,17,0.0,18.75476157924816,0.0,0.0,0.0
13945,17,0.0,18.68365493419386,0.0,0.0,0.0
13946,17,0.0,18.600991214859093,0.0,0.0,0.0
13947,17,0.0,18.531054109731773,0.0,0.0,0.0
13948,17,0.0,18.465980566255574,0.0,0.0,0.0
13949,20,500000.0,19.403002038960057,100000.0,90000.0,0.0
13950,20,500000.0,19.626029984315494,100000.0,133100.0,0.0
13951,20,494512.6309570299,19.79419410791099,98902.52619140598,146583.4340682828,0.20580589208901046
13952,20,480015.142786843,19.97117619756655,192006.05711473722,149783.9251552065,0.028823802433450396
13953,20,417983.7750305366,20.01978191686519,167193.51001221465,126180.94200621838,0.0
13954,20,349638.8313175521,20.02165918204466,139855.53252702084,96780.02850869841,0.0
13955,20,292254.49810308835,20.018294008856284,116901.79924123535,72736.29948789663,0.0
13956,20,249659.42389729206,20.01356656518725,99863.76955891683,57072.14430292096,0.0
13957,20,221589.04955874986,20.008893003917137,88635.61982349995,52653.989956150144,0.0
13958,20,208848.07980427454,20.003881664251498,83539.23192170983,51372.45067025545,0.0
13959,20,203239.258193734,20.001678224407772,81295.7032774936,51752.844706452415,0.0
13960,20,205026.08774635513,19.99924224391032,82010.43509854206,59018.809618665786,0.000757756089679873
13961,20,204530.78536169976,20.00015111558462,122718.47121701985,68137.38583539665,0.0
13962,20,205635.2795819263,19.999570897231468,123381.16774915578,67937.78366827681,0.0004291027685319193
13963,20,205938.1361411943,19.99988697634844,123562.88168471657,64277.411052389565,0.00011302365156140581
13964,20,207638.5854886203,19.999397667674288,124583.15129317218,59260.05229845223,0.0006023323257124957
13965,20,209744.64176239778,19.999284527273517,83897.85670495912,57302.23612948707,0.0007154727264833127
13966,20,212913.103932987,19.998924371604144,85165.2415731948,53994.7631574055,0.0010756283958563984
13967,17,0.0,19.566044000235877,0.0,0.0,0.0
13968,17,0.0,19.439118569997074,0.0,0.0,0.0
13969,17,0.0,19.32852947957382,0.0,0.0,0.0
13970,17,0.0,19.220946642719042,0.0,0.0,0.0
13971,17,0.0,19.11954737626188,0.0,0.0,0.0
13972,17,0.0,19.01611413552506,0.0,0.0,0.0
13973,20,476276.87796084036,19.885794481815715,95255.37559216807,110258.09724793455,0.0
13974,20,445621.7245898995,20.00835344690584,89124.3449179799,125709.88850681065,0.0
13975,20,382963.40852481785,20.019765683009176,76592.68170496357,116206.41668277072,0.0
13976,20,329762.9020707985,20.01676026390231,131905.1608283194,101388.90187068771,0.0
13977,20,280917.7150610677,20.015691137818305,112367.08602442709,81353.77028168523,0.0
13978,20,242890.06739348543,20.012175875144727,97156.02695739418,68057.79688365462,0.0
13979,20,209620.7858464866,20.01079988808755,83848.31433859465,54954.185217514925,0.0
13980,20,191037.34876178906,20.00585805718829,76414.93950471563,48890.27829511705,0.0
13981,20,175186.64383810415,20.00516928036611,70074.65753524167,43814.17962390985,0.0
13982,20,160980.3399753986,20.004648656038146,64392.13599015944,40808.51618376354,0.0
13983,20,156282.2900628335,20.001408380515922,62512.916025133396,41877.40244523686,0.0
13984,20,157017.20542503434,19.999679697288926,62806.882170013734,47042.354745340286,0.0003203027110743051
13985,20,170215.86192022712,19.9954454722319,102129.51715213626,55228.2385586369,0.0045545277681000584
13986,20,181888.67831475099,19.99614539091214,109133.2069888506,57043.92729307221,0.0038546090878597283
13987,20,186056.1989300561,19.998694425186596,111633.71935803366,53933.97094584467,0.00130557481340432
13988,20,183128.2131780008,20.00104238899157,109876.92790680047,50224.743746198496,0.0
13989,20,184253.8076178529,19.99955676068832,73701.52304714116,47320.06287241698,0.00044323931167866704
13990,20,187901.37133627955,19.998757771970947,75160.54853451182,41477.34870877035,0.0012422280290529386
13991,17,0.0,19.613090172584087,0.0,0.0,0.0
13992,17,0.0,19.494347693245867,0.0,0.0,0.0
13993,17,0.0,19.391767616515192,0.0,0.0,0.0
13994,17,0.0,19.2960345761208,0.0,0.0,0.0
13995,17,0.0,19.212858941381864,0.0,0.0,0.0
13996,17,0.0,19.13931179433391,0.0,0.0,0.0
13997,20,415394.6286256538,19.914103210946706,83078.92572513077,83618.93874234411,0.0
13998,20,371677.8035952303,20.012103969859155,74335.56071904606,102516.17178763641,0.0
13999,20,316739.4130300425,20.017164009406276,63347.8826060085,96231.7684667875,0.0
14000,20,274154.8184506369,20.01331567955382,109661.92738025478,89818.60162079768,0.0
14001,20,242595.66990449827,20.009923751871614,97038.26796179931,78426.3281667262,0.0
14002,20,212018.54144515764,20.009873307385064,84807.41657806306,63558.918354429356,0.0
14003,20,185212.59083924987,20.008670355690832,74085.03633569994,49022.06854333266,0.0
14004,20,162002.39602277908,20.0075518310471,64800.958409111634,41475.85342975191,0.0
14005,20,147740.5368527713,20.004553811383403,59096.214741108524,37003.0948601451,0.0
14006,20,138234.16700031972,20.003064515460192,55293.66680012789,35031.30260122102,0.0
14007,20,133662.0526333204,20.00143287124252,53464.82105332816,34605.10542676665,0.0
14008,20,139075.70358671795,19.99806043200342,55630.28143468718,41046.80315658394,0.001939567996579683
14009,20,154082.9341713511,19.99488928753702,92449.76050281066,51719.477683955716,0.00511071246297945
14010,20,164621.4748188697,19.996554601097582,98772.88489132181,54884.799704611156,0.0034453989024179066
14011,20,171830.3345802425,19.997625388693105,103098.2007481455,52583.51898824581,0.0023746113068945363
14012,20,179380.41904289153,19.9974700712728,107628.25142573491,51170.05833617524,0.002529928727199149
14013,20,186129.4396877848,19.99775794351509,74451.77587511392,52473.61163678029,0.002242056484909938
